service_id,date,exception_type
GNE:GONO892:892:S92MF250511:I:2,20251001,1
GNE:GONO892:892:S92MF250511:I:2,20251002,1
GNE:GONO892:892:S92MF250511:I:2,20251003,1
GNE:GONO892:892:S92MF250511:I:2,20251006,1
GNE:GONO892:892:S92MF250511:I:2,20251008,1
GNE:GONO892:892:S92MF250511:I:2,20251009,1
GNE:GONO892:892:S92MF250511:I:2,20251010,1
GNE:GONO892:892:S92MF250511:I:2,20251013,1
GNE:GONO892:892:S92MF250511:I:2,20251015,1
GNE:GONO892:892:S92MF250511:I:2,20251016,1
GNE:GONO892:892:S92MF250511:I:2,20251017,1
GNE:GONO892:892:S92MF250511:I:2,20251020,1
GNE:GONO892:892:S92MF250511:I:2,20251022,1
GNE:GONO892:892:S92MF250511:I:2,20251023,1
GNE:GONO892:892:S92MF250511:I:2,20251024,1
GNE:GONO892:892:S92MF250511:I:2,20251103,1
GNE:GONO892:892:S92MF250511:I:2,20251105,1
GNE:GONO892:892:S92MF250511:I:2,20251106,1
GNE:GONO892:892:S92MF250511:I:2,20251107,1
GNE:GONO892:892:S92MF250511:I:2,20251110,1
GNE:GONO892:892:S92MF250511:I:2,20251112,1
GNE:GONO892:892:S92MF250511:I:2,20251113,1
GNE:GONO892:892:S92MF250511:I:2,20251114,1
GNE:GONO892:892:S92MF250511:I:2,20251117,1
GNE:GONO892:892:S92MF250511:I:2,20251119,1
GNE:GONO892:892:S92MF250511:I:2,20251120,1
